Ano	Autor	CodigodoPPG	Idioma	Orientador
2020	RODOLFO VIEIRA VALENTIM	30001013007P0	INGLES	RODOLFO DA SILVA VILLACA
2020	FLAVIA JANINE ROSANTE BEO	33144010008P1	PORTUGUES	KARLA VITTORI
2017	ANDRE MACEDO	25001019062P6	PORTUGUES	RUY JOSE GUERRA BARRETTO DE QUEIROZ
2017	FERNANDO AVILA FOSSI SILVEIRA	30001013007P0	PORTUGUES	RODOLFO DA SILVA VILLACA
2020	JONATAS OLIVEIRA LIMA DA SILVA	21001014031P2	PORTUGUES	PAULO SERGIO MARQUES DOS SANTOS
2020	FABRICIO NEITZKE FERREIRA	42003016038P9	PORTUGUES	LUCIANO VOLCAN AGOSTINI
2020	KAREN STEFANY MARTINS	32001010004P6	INGLES	PEDRO OLMO STANCIOLI VAZ DE MELO
2020	ULISSES TELEMACO NETO	31001017004P3	INGLES	TOACY CAVALCANTE DE OLIVEIRA
2020	MARCOS VINICIUS GUIMARAES MARTINS FILHO	33003017005P8	INGLES	GUIDO COSTA SOUZA DE ARAUJO
2017	LUIS GUILHERME CORDIOLLI RUSSI	33003017005P8	PORTUGUES	EDMUNDO ROBERTO MAURO MADEIRA
2018	CARLOS MAGNO DE OLIVEIRA ARAUJO	24001015047P4	PORTUGUES	IGUATEMI EDUARDO DA FONSECA
2019	VITOR SILVA MONTES	33002045004P1	PORTUGUES	PAULO SERGIO LOPES DE SOUZA
2017	THIAGO AUGUSTO LOPES GENEZ	33003017005P8	INGLES	EDMUNDO ROBERTO MAURO MADEIRA
2018	DIOGO MACHADO GONCALVES	33003017005P8	PORTUGUES	EDMUNDO ROBERTO MAURO MADEIRA
2020	HEBER AUGUSTO SCACHETTI	33003017005P8	PORTUGUES	GUIDO COSTA SOUZA DE ARAUJO
2019	DENIS JOSE SOUSA DE ALBUQUERQUE	23001011022P9	PORTUGUES	UMBERTO SOUZA DA COSTA
2017	TULIO CORREA LOURES	32001010004P6	PORTUGUES	PEDRO OLMO STANCIOLI VAZ DE MELO
2017	RAIMUNDO LUCIVALDO CRUZ FIGUEIRA	25001019062P6	PORTUGUES	SIMONE CRISTIANE DOS SANTOS LIMA
2017	DIEGO LEONARDO CHAVES SILVA	25001019062P6	PORTUGUES	GIORDANO RIBEIRO EULALIO CABRAL
2017	FILIPE MARQUES CHAVES DE ARRUDA	25001019004P6	INGLES	AUGUSTO CEZAR ALVES SAMPAIO
2017	ALEXANDRE MENDES LIMA	31001017110P8	PORTUGUES	MONICA FERREIRA DA SILVA
2018	RAFAEL FERREIRA TOLEDO	23001011022P9	PORTUGUES	UMBERTO SOUZA DA COSTA
